,City,Country,Date,Visibility,Lon,Lat,Main Temp,Temp Feels Like,Temp Min,Temp Max,Pressure,Humidity,Wind Speed,Wind Degree,Cloudiness
472,Springbok,ZA,1653189284,10000,17.8865,-29.6643,44.29,41.85,44.29,44.29,1024,66,4.54,89,23
473,Stillwater,US,1653189060,10000,-97.0584,36.1156,56.46,54.82,54.34,58.55,1022,64,6.91,350,0
474,Sur,OM,1653189284,10000,59.5289,22.5667,94.28,95.77,94.28,94.28,999,36,12.75,226,0
475,Swift Current,CA,1653189284,10000,-107.8014,50.2834,45.14,41.85,45.14,45.14,1024,38,6.06,267,84
476,Tabas,IR,1653189284,10000,56.9244,33.5959,67.66,66.0,67.66,67.66,1012,40,12.06,326,5
477,Tabou,CI,1653189285,4676,-7.3528,4.423,75.24,76.69,75.24,75.24,1013,90,6.58,277,100
478,Talcahuano,CL,1653189285,10000,-73.1167,-36.7167,53.28,52.72,53.28,53.28,1022,94,6.91,10,100
479,Talnakh,RU,1653189285,10000,88.3972,69.4865,47.21,46.45,47.21,47.21,1011,85,3.06,126,99
480,Taltal,CL,1653189020,10000,-70.4833,-25.4,59.76,59.29,59.76,59.76,1020,82,3.49,141,17
481,Taree,AU,1653189286,10000,152.4667,-31.9,63.1,63.25,60.06,63.1,1024,88,3.94,147,100
482,Tasiilaq,GL,1653189286,10000,-37.6368,65.6145,32.16,32.16,32.16,32.16,1016,71,2.51,303,70
483,Tavira,PT,1653189286,10000,-7.6486,37.1273,61.27,60.19,61.27,62.47,1017,66,3.0,124,100
484,Tcholliré,CM,1653189287,10000,14.1698,8.4022,76.6,77.34,76.6,76.6,1011,72,2.59,209,95
485,Te Anau,NZ,1653189287,10000,167.7167,-45.4167,47.66,44.96,47.66,47.66,1005,73,5.86,251,79
486,Ténenkou,ML,1653189287,10000,-4.9169,14.4572,87.01,86.88,87.01,87.01,1009,41,7.09,175,79
487,Termini Imerese,IT,1653189287,10000,13.6956,37.9837,64.04,63.16,61.2,67.19,1017,64,3.4,187,1
488,Tessalit,ML,1653189288,10000,1.0114,20.1986,85.93,82.58,85.93,85.93,1009,13,2.91,41,62
489,Tezu,IN,1653189288,10000,96.1667,27.9167,82.22,87.31,82.22,82.22,1003,72,2.46,228,49
490,The Valley,AI,1653189288,10000,-63.0578,18.217,80.46,83.84,79.11,80.82,1021,71,15.68,76,96
491,Thinadhoo,MV,1653189288,10000,72.9333,0.5333,83.17,89.31,83.17,83.17,1010,72,11.12,271,100
492,Thompson,CA,1653189289,10000,-97.8558,55.7435,40.06,40.06,40.06,40.06,1018,58,1.43,166,35
493,Tigil',RU,1653189289,10000,158.6667,57.8,53.35,51.24,53.35,53.35,1020,61,4.05,84,93
494,Tiksi,RU,1653189289,10000,128.8694,71.6872,31.03,25.56,31.03,31.03,1012,92,5.41,128,100
495,Tobatí,PY,1653189290,10000,-57.0667,-25.25,52.54,51.82,52.54,52.54,1021,92,4.47,105,59
496,Tondano,ID,1653189290,10000,124.9112,1.3038,84.29,90.12,84.29,84.29,1010,67,3.11,198,81
497,Tongzi,CN,1653189290,10000,105.0877,28.7829,66.94,67.14,66.94,66.94,1009,81,2.37,185,100
498,Torbay,CA,1653189290,10000,-52.7314,47.6666,44.51,39.79,44.51,44.51,1024,76,8.63,205,38
499,Torrington,US,1653189291,10000,-73.1212,41.8007,71.44,72.46,67.62,74.55,1017,89,4.36,227,0
500,Touros,BR,1653189214,10000,-35.4608,-5.1989,75.34,76.77,75.34,75.34,1016,89,9.98,165,3
501,Tragana,GR,1653189291,10000,23.1167,38.6167,54.59,52.05,54.59,54.59,1011,49,2.04,241,33
502,Trairi,BR,1653189044,10000,-39.2689,-3.2778,73.72,75.16,73.72,73.72,1016,93,5.5,146,5
503,Troitsko-Pechorsk,RU,1653189293,70,56.1964,62.7084,34.5,26.2,34.5,34.5,1001,97,11.36,29,100
504,San Miguel de Tucumán,AR,1653189013,10000,-65.2226,-26.8241,53.6,52.23,53.6,53.6,1020,76,6.91,360,0
505,Tuktoyaktuk,CA,1653189293,10000,-133.0374,69.4541,30.2,21.4,30.2,30.2,1030,71,10.2,37,14
506,Tupik,RU,1653189293,3734,119.9327,54.4253,44.51,39.43,44.51,44.51,1001,96,9.48,80,100
507,Turukhansk,RU,1653189295,10000,87.9833,65.8167,57.61,56.03,57.61,57.61,1009,63,2.66,336,41
508,Tuy Hoa,VN,1653189010,10000,109.3,13.0833,88.23,97.11,88.23,88.23,1005,63,5.39,226,100
509,Udachny,RU,1653189295,10000,112.4,66.4167,54.88,52.32,54.88,54.88,1006,48,4.88,83,15
510,Ugoofaaru,MV,1653189295,10000,73.0,5.6667,82.92,90.19,82.92,82.92,1010,77,14.47,273,31
511,Ukwā,IN,1653189295,10000,80.4667,21.9667,90.28,88.25,90.28,90.28,1001,30,7.09,289,0
512,Umm Kaddadah,SD,1653189083,10000,26.6876,13.6017,79.18,79.18,79.18,79.18,1012,19,8.19,85,100
513,Upernavik,GL,1653189296,10000,-56.1549,72.7868,28.44,28.44,28.44,28.44,1004,86,2.75,150,100
514,Ürümqi,CN,1653189296,10000,87.6005,43.801,81.55,79.45,81.55,81.55,1005,17,2.24,0,0
515,Ushibukamachi,JP,1653189296,10000,130.0228,32.1906,69.84,70.0,69.84,69.84,1009,74,7.85,303,96
516,Ushuaia,AR,1653189089,10000,-68.3,-54.8,37.06,37.06,37.06,37.06,993,81,2.3,220,0
517,Ust-Nera,RU,1653189297,3601,143.2,64.5667,44.1,42.42,44.1,44.1,1011,60,3.58,158,97
518,Uyemskiy,RU,1653189297,10000,40.8524,64.4743,30.06,23.36,30.06,30.25,1016,68,6.71,30,100
519,Vaini,TO,1653189297,10000,-175.2,-21.2,80.76,84.87,80.76,80.76,1014,74,6.91,80,40
520,Vao,NC,1653189297,10000,167.4833,-22.6667,73.83,74.97,73.83,73.83,1011,86,25.52,119,83
521,Vejle,DK,1653189298,10000,9.5357,55.7093,50.58,49.48,48.87,52.21,1014,88,6.98,274,94
522,Vestmannaeyjar,IS,1653189298,10000,-20.2734,63.4427,48.6,44.67,48.6,48.6,1002,81,8.97,39,18
523,Hong Kong,HK,1653189298,10000,114.1577,22.2855,77.68,79.11,74.95,84.18,1008,84,15.01,90,96
524,Vila,PT,1653189299,10000,-8.1588,42.0304,52.7,52.09,52.68,52.7,1012,94,2.42,225,27
525,Vila Franca do Campo,PT,1653189299,10000,-25.4333,37.7167,69.19,70.32,64.81,69.19,1023,96,4.61,271,100
526,Vila Velha,BR,1653189269,10000,-40.2925,-20.3297,62.55,62.92,62.55,62.55,1023,94,2.3,320,20
527,Vilyuysk,RU,1653189300,10000,121.6247,63.7553,61.43,58.96,61.43,61.43,1006,36,3.76,90,23
528,Vostok,RU,1653189005,10000,135.8833,46.4856,48.4,47.88,48.4,48.4,1005,97,3.0,284,100
529,Waipawa,NZ,1653189300,10000,175.5153,-41.4122,56.89,55.11,56.89,56.89,1003,60,10.98,271,9
530,Wajima,JP,1653189300,10000,136.9,37.4,66.06,65.79,66.06,66.06,1006,73,9.28,251,14
531,Watsa,CD,1653189301,10000,29.5355,3.0372,61.45,61.9,61.45,61.45,1013,98,1.86,135,99
532,Wenling,CN,1653189301,10000,121.36,28.3669,70.74,70.93,70.74,70.74,1011,73,5.17,106,90
533,West Saint Paul,US,1653189303,10000,-93.1016,44.9161,48.49,43.32,42.85,51.39,1021,47,12.66,340,100
534,Weyburn,CA,1653189057,10000,-103.8511,49.6668,45.99,42.69,45.99,45.99,1024,54,6.35,332,72
535,Witu,KE,1653189303,10000,40.4382,-2.3889,77.16,78.8,77.16,77.16,1013,90,7.25,185,93
536,Xai-Xai,MZ,1653189303,10000,33.6442,-25.0519,67.08,67.91,67.08,67.08,1016,94,5.91,166,100
537,Xining,CN,1653189304,10000,101.7667,36.6167,62.82,60.76,62.82,62.82,1005,42,2.3,91,0
538,Yagodnoye,RU,1653189304,10000,149.6667,62.55,42.49,39.16,42.49,42.49,1015,62,5.35,200,94
539,Yamada,JP,1653189304,10000,141.95,39.4667,58.14,57.92,58.14,58.14,1008,91,4.56,307,100
540,Yanam,IN,1653189304,10000,82.2167,16.7333,86.38,91.45,86.38,86.38,1001,59,9.19,267,99
541,Yar-Sale,RU,1653189060,10000,70.8333,66.8333,33.67,24.03,33.67,33.67,1013,72,14.18,34,100
542,Yellowknife,CA,1653189305,10000,-114.3525,62.456,43.32,38.08,43.32,44.56,1015,100,9.22,20,100
543,Yinchuan,CN,1653189305,10000,106.2731,38.4681,78.3,77.23,78.3,78.3,1003,30,4.88,191,5
544,Yulara,AU,1653189306,10000,130.9889,-25.2406,68.16,66.13,68.16,68.16,1019,31,8.72,80,51
545,Yumen,CN,1653189306,10000,97.2,40.2833,77.2,75.33,77.2,77.2,1001,15,21.41,84,0
546,Zhangjiakou,CN,1653189306,10000,114.8794,40.81,82.33,80.01,82.33,82.33,1006,18,3.71,203,98
547,Zhangye,CN,1653189307,10000,100.4517,38.9342,78.04,76.35,78.04,78.04,1001,17,2.3,350,75
548,Zhigansk,RU,1653189307,10000,123.3711,66.7697,46.45,43.63,46.45,46.45,1009,50,5.68,24,4
